Date,Open,High,Low,Close,Volume,Adj Close
4/18/16,9.42,9.58,9.37,9.51,1031900,9.51
4/15/16,9.28,9.63,9.28,9.49,1878600,9.49
4/14/16,9.58,9.62,9.3,9.41,1633400,9.41
4/13/16,9.41,9.61,9.31,9.53,2126800,9.53
4/12/16,9.14,9.52,8.9,9.33,3114700,9.33
4/11/16,9.33,9.39,9.12,9.14,2743100,9.14
4/8/16,9.51,9.51,8.95,9.27,4385100,9.27
4/7/16,10.04,10.07,9.4,9.49,5199300,9.49
4/6/16,10.29,10.48,9.92,10.1,4745100,10.1
4/5/16,10.51,10.54,10.2,10.26,1718400,10.26
4/4/16,10.87,10.96,10.61,10.61,1886000,10.61
4/1/16,10.95,11.08,10.69,10.84,3432600,10.84
3/31/16,10.7,11.26,10.64,11.06,4099600,11.06
3/30/16,10.77,11.02,10.57,10.73,3146400,10.73
3/29/16,10.27,10.71,10.15,10.67,2246400,10.67
3/28/16,10.46,10.52,10.13,10.27,1464400,10.27
3/24/16,10.1,10.43,9.9,10.42,2084100,10.42
3/23/16,10.56,10.56,10.09,10.12,1764900,10.12
3/22/16,10.63,10.8,10.51,10.61,1178800,10.61
3/21/16,10.81,11.02,10.6,10.71,2205400,10.71
3/18/16,10.48,10.89,10.36,10.85,4296200,10.85
3/17/16,10.14,10.55,9.88,10.44,4002300,10.44
3/16/16,10.19,10.33,9.82,10.14,5763700,10.14
3/15/16,10.38,10.44,10.07,10.21,2647600,10.21
3/14/16,10.67,10.7,10.25,10.37,2545400,10.37
3/11/16,10.49,10.75,10.32,10.7,3353000,10.7
3/10/16,10.3,10.59,10.15,10.41,3758800,10.41
3/9/16,10.03,10.38,9.96,10.2,3479700,10.2
3/8/16,9.81,10.41,9.81,10.14,6183000,10.14
3/7/16,9.62,10.07,9.1,9.82,5065700,9.82
3/4/16,9.73,10.15,9.59,9.65,4379900,9.65
3/3/16,8.75,9.84,8.72,9.74,6673600,9.74
3/2/16,8.45,8.8,7.7,8.7,9064100,8.7
3/1/16,8.46,8.87,8.19,8.85,4947800,8.85
2/29/16,8.34,8.67,8.3,8.45,4730400,8.45
2/26/16,8.32,8.37,8.06,8.3,2978100,8.3
2/25/16,7.98,8.3,7.85,8.28,3548800,8.28
2/24/16,7.87,8.04,7.66,8.01,2835200,8.01
2/23/16,7.9,8,7.68,7.95,2769200,7.95
2/22/16,7.87,8.06,7.69,7.94,3427000,7.94
2/19/16,7.71,7.85,7.49,7.76,3214600,7.76
2/18/16,7.55,7.8,7.46,7.75,3258800,7.75
2/17/16,7.23,7.81,7.19,7.55,4569700,7.55
2/16/16,6.76,7.41,6.7,7.21,3614000,7.21
2/12/16,6.52,6.78,6.52,6.65,2546000,6.65
2/11/16,6.5,6.73,6.4,6.5,3917700,6.5
2/10/16,6.65,7.13,6.33,6.48,3689000,6.48
2/9/16,6.58,6.9,6.46,6.62,3860800,6.62
