Date,Open,High,Low,Close,Volume,Adj Close
4/18/16,19.389999,20.23,19.309999,20.01,2089700,20.01
4/15/16,19.440001,19.68,19.190001,19.540001,2086700,19.540001
4/14/16,20.110001,20.129999,19.43,19.5,1745800,19.5
4/13/16,19.75,20.18,19.610001,20.129999,1311000,20.129999
4/12/16,19.84,19.860001,18.799999,19.59,2830700,19.59
4/11/16,20.02,20.17,19.65,19.809999,2234200,19.809999
4/8/16,20.09,20.1,19.4,19.84,2783500,19.84
4/7/16,20.57,20.84,19.889999,20.16,3906600,20.16
4/6/16,20.709999,20.82,20.389999,20.65,1364300,20.65
4/5/16,20.809999,21.040001,20.68,20.68,1265500,20.68
4/4/16,21.379999,21.52,20.879999,20.969999,1998700,20.969999
4/1/16,21.290001,21.57,21.190001,21.389999,2250300,21.389999
3/31/16,21.129999,21.57,21.07,21.41,1940900,21.41
3/30/16,21.200001,21.5,20.969999,21.15,1422700,21.15
3/29/16,20.799999,21.26,20.77,21.139999,1866700,21.139999
3/28/16,20.68,20.940001,20.65,20.77,1064400,20.77
3/24/16,20.790001,20.870001,20.58,20.68,1527200,20.68
3/23/16,21,21.08,20.690001,20.790001,2547400,20.790001
3/22/16,21.059999,21.209999,20.75,21.01,1827600,21.01
3/21/16,21.049999,21.280001,20.959999,21.16,2054300,21.16
3/18/16,21.24,21.41,21.049999,21.110001,2009100,21.110001
3/17/16,20.709999,21.18,20.459999,21.09,2166900,21.09
3/16/16,20.629999,20.92,20.42,20.68,2880100,20.68
3/15/16,20.969999,21.08,20.549999,20.709999,2214200,20.709999
3/14/16,20.85,21.370001,20.700001,20.959999,3275100,20.959999
3/11/16,20.57,21.040001,20.299999,20.85,4261500,20.85
3/10/16,19.690001,20.469999,19.690001,20.450001,6201900,20.450001
3/9/16,20.26,20.440001,19.33,19.66,8793000,19.66
3/8/16,18.950001,19.48,18.809999,19.040001,4479500,19.040001
3/7/16,18.57,19.02,18.389999,18.6,2400500,18.6
3/4/16,17.809999,18.639999,17.73,18.5,2601800,18.5
3/3/16,17.52,17.85,17.110001,17.809999,1787200,17.809999
3/2/16,17.34,17.620001,17.15,17.51,2257300,17.51
3/1/16,17.309999,17.389999,17.08,17.309999,1938400,17.309999
2/29/16,17.190001,17.58,17.139999,17.23,1863500,17.23
2/26/16,17.299999,17.299999,16.940001,17.16,1095400,17.16
2/25/16,16.98,17.290001,16.809999,17.280001,976600,17.280001
2/24/16,16.93,17.08,16.74,16.940001,1396800,16.940001
2/23/16,17,17.49,16.950001,17,2789200,17
2/22/16,17.129999,17.17,16.74,16.969999,1952500,16.969999
2/19/16,16.74,17.27,16.549999,16.889999,1843800,16.889999
2/18/16,16.91,16.940001,16.66,16.860001,1320600,16.860001
2/17/16,16.690001,17.15,16.690001,16.940001,1488000,16.940001
2/16/16,16.389999,16.73,16.25,16.549999,1817400,16.549999
2/12/16,16.01,16.360001,15.93,16.17,1019100,16.17
2/11/16,15.7,16.139999,15.66,15.89,946900,15.89
2/10/16,16.33,16.459999,15.86,15.87,1448400,15.87
