"expresstext","date","expr_open","expr_high","expr_low","expr_close","expr_volume","expr_adj_close","ny_snow","ny_mean_temp","ny_max_temp","ny_min_temp","la_snow","la_mean_temp","la_max_temp","la_min_temp","chi_snow","chi_mean_temp","chi_max_temp","chi_min_temp","hou_snow","hou_mean_temp","hou_max_temp","hou_min_temp","unemployment"
"We're overhauling our closet with #OneEleven looks under $50! Friend EXPRESS on Snapchat to tag along. Ì†ΩÌ±ª https://t.co/GVMiIGnOSV",2016-04-29,18.200001,18.33,17.969999,18.18,3225700,18.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cutoffs that won't quit courtesy of @bowsandsequins #ExpressPartner
https://t.co/Yvv0SCwQ21 https://t.co/P0PPxHWEyI",2016-04-29,18.200001,18.33,17.969999,18.18,3225700,18.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"""How to dress for the promotion"" courtesy of @OneDapperStreet. Ì†ΩÌ±î#ExpressPartner #ExpressMen
https://t.co/xRlRFM6b3H https://t.co/4CR0IomxWD",2016-04-29,18.200001,18.33,17.969999,18.18,3225700,18.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tech fabrics: Because the heat shouldn't dampen your style. #KrisBryant #ExpressMen
https://t.co/d4Or30EVTF https://t.co/2EL8lUT0nt",2016-04-28,18.6,18.83,18.209999,18.24,1524300,18.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tanks for the memories.
https://t.co/qYWaYObzVk https://t.co/Q0lG901O6d",2016-04-28,18.6,18.83,18.209999,18.24,1524300,18.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mix it. Match it. Wear it. Rock it. Ì†ΩÌ±ô
https://t.co/6OXhq3UmkK https://t.co/7VZtHYhbBT",2016-04-27,18.9,19.15,18.360001,18.82,2227700,18.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Our black chiffon kimono put a spell on our #Pinterest fans. Ì†ΩÌ¥Æ #TopPinned
https://t.co/KYFNjYIi5h https://t.co/VxXsR9e2zq",2016-04-27,18.9,19.15,18.360001,18.82,2227700,18.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The @IzolaNYC passport holder = instant upgrade. ‚úàhttps://t.co/Xuq8NPJN90 https://t.co/cNcbv8A7lc",2016-04-27,18.9,19.15,18.360001,18.82,2227700,18.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lighten the mood in our linen-cotton shorts. #ExpressMen
https://t.co/EF85TXfU98 https://t.co/GBrhwSPDW8",2016-04-26,18.35,18.860001,18.23,18.629999,2053400,18.629999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Strut like you mean it, @Natalieoffduty  #ExpressPartner
https://t.co/3hFxeqsS1d https://t.co/xilqJUZnFZ",2016-04-26,18.35,18.860001,18.23,18.629999,2053400,18.629999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
