"expresstext","date"
"We're overhauling our closet with #OneEleven looks under $50! Friend EXPRESS on Snapchat to tag along. Ì†ΩÌ±ª https://t.co/GVMiIGnOSV",2016-04-29
"Cutoffs that won't quit courtesy of @bowsandsequins #ExpressPartner
https://t.co/Yvv0SCwQ21 https://t.co/P0PPxHWEyI",2016-04-29
"""How to dress for the promotion"" courtesy of @OneDapperStreet. Ì†ΩÌ±î#ExpressPartner #ExpressMen
https://t.co/xRlRFM6b3H https://t.co/4CR0IomxWD",2016-04-29
"Tech fabrics: Because the heat shouldn't dampen your style. #KrisBryant #ExpressMen
https://t.co/d4Or30EVTF https://t.co/2EL8lUT0nt",2016-04-28
"Tanks for the memories.
https://t.co/qYWaYObzVk https://t.co/Q0lG901O6d",2016-04-28
"Mix it. Match it. Wear it. Rock it. Ì†ΩÌ±ô
https://t.co/6OXhq3UmkK https://t.co/7VZtHYhbBT",2016-04-27
"Our black chiffon kimono put a spell on our #Pinterest fans. Ì†ΩÌ¥Æ #TopPinned
https://t.co/KYFNjYIi5h https://t.co/VxXsR9e2zq",2016-04-27
"The @IzolaNYC passport holder = instant upgrade. ‚úàhttps://t.co/Xuq8NPJN90 https://t.co/cNcbv8A7lc",2016-04-27
"Lighten the mood in our linen-cotton shorts. #ExpressMen
https://t.co/EF85TXfU98 https://t.co/GBrhwSPDW8",2016-04-26
"Strut like you mean it, @Natalieoffduty  #ExpressPartner
https://t.co/3hFxeqsS1d https://t.co/xilqJUZnFZ",2016-04-26
"Another day, another fade. Ì†ΩÌ±ñ #ExpressJeans #ExpressMen
https://t.co/xseUd50SUI https://t.co/T2Pvm1pWRU",2016-04-26
"Motivation &gt; gym membership. #EXPCore
https://t.co/P7THjhlyoT https://t.co/0n8TSSrlKJ",2016-04-25
"It‚Äôs April 25th. All you need is a light jacket. #PerfectDate https://t.co/FQiSo5RRuc",2016-04-25
"It's all about the bodysuit.
https://t.co/nBwVdZLHzn https://t.co/FFVlEgJqtQ",2016-04-25
"This weekend get $25 off every $100 you spend + free shipping on orders $50+ w/ code 1296! 
https://t.co/G1eu5GXjNK https://t.co/WMb8BmxTDJ",2016-04-25
"Spring shorts: File under ""Need!"" 
https://t.co/A3taT9xul7 https://t.co/E18DnjBsGz",2016-04-24
"Brunch is no place for pants. #NoPantsDance Ì†ΩÌ±ó
https://t.co/rdDbaNgCEK https://t.co/lTrLEzNoJU",2016-04-24
"Shop lots of new patterns for your new workout + get FREE shipping on orders $50+. #EXPCore
https://t.co/owCEBbkMOV https://t.co/7SdhfvnUqn",2016-04-24
"Ethically sourced, festival-ready. We are loving #ChanLuu jewelry this season.
https://t.co/QHAcZVwobJ https://t.co/Yr7wRFwuLx",2016-04-23
"Dance like nobody's watching like @jessimalay. #ExpressPartner
https://t.co/LcOAezMWy3 https://t.co/cDBV2HmeQB",2016-04-23
