"gaptext","date"
"@sassystephk Happy to hear this! We'll share your feedback with the district leadership so she can be commended. Thanks for shopping Gap!",2016-04-26
"Wear it everywhere. @itsmattbauer hits the beach in a classic denim
jacket. https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/Eh6ru8XOu1",2016-04-26
"@Greenjuicebabe Our new Authentic 1969 jeans are less stretch, same styles.  Try them out!  Thanks!",2016-04-26
"@ThatJoshRandall Sorry to disappoint. UK Gift Cards are only valid in stores. More questions? Call 08003680674 or email custserv@gap.co.uk.",2016-04-26
"@bavarianpretzel We don't have any specifics on restocks, but we'll share your feedback with our merchandising leaders. Thanks!",2016-04-25
"@vindugoel Sorry to hear this. We'd love to get more information so we can help. Please email us at custserv@gap.com Attn: Twitter Team",2016-04-25
"@PatronedOutlier Sorry to hear this. We'll share your feedback with the store's leadership team so they can look into it. Thanks!",2016-04-25
"@Tribefanne Mail only items are labeled as such online. Feel free to call us at 800-GAP-STYLE if you have any questions when ordering.",2016-04-25
"@al_rasheed We try to anticipate business levels. Sorry to hear your store was not staffed. Let us know which store so we can follow up.",2016-04-25
"Chasing the sunset with @Sierra_Prescott. https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/GQGfhEVOMn",2016-04-25
"@JustChetu So sorry, but alterations are not available for any Gap stores at this time.  We can share your interest in this service. Thx!",2016-04-25
"@Tribefanne If your experience is contrary to these guidelines, call so we can help.  Thanks! 1-800-GAPSTYLE",2016-04-25
"@Tribefanne All items can be returned in stores except for a few that are marked as such on the invoice. We do provide free return labels.",2016-04-25
"@PatronedOutlier We are sorry for this experience. Which location? We want to share your feedback on this change.  Thanks!",2016-04-25
"@natalietgraham Hope CS was able to help. If not, let us know we will see if it is avail in a store for you.  Thanks!",2016-04-25
"@SERCNM Sorry that they didn't fit as expected. Give us a call so we can get more details about the product. Thanks! 1-800-GAPSTYLE",2016-04-25
"@al_rasheed We had a great response to our sale this past weekend. Sorry for the long wait. We shared this with the mgr for follow up. Thx",2016-04-25
"@XOKatReid So sorry to hear this. Please give us a call, we want to see how we can help.",2016-04-25
"@iannuzzimarco Sorry to see this. Take them to the store and meet with manager. If they see they're defective, they can help. Thanks",2016-04-25
"@Ellie__Doyle Thanks for tweeting.  We are happy to look into this for you. Please send us more info via email. custserv@gap.com. Thanks",2016-04-25
"@Q_lalala Sorry to disappoint. We shared this with our marketing team for review.  Hopefully there will be some great deals coming soon!",2016-04-25
"@yuriaurich This is not what we envision for our customers. Thanks for sending this. We shared it with area leadership for follow up. Thx",2016-04-25
"@loulabell30 Give us a call or email with the code number so we can see what is going on.  Thanks!  custserv@gap.com or 1-800-GAPSTYLE",2016-04-25
"@amccall56 We are so sorry to hear this. Thanks for letting us know. We shared it with area leadership for follow up. Thx",2016-04-25
"@Kat_Hodge1310 This is not what we envision for our customers. Thanks for sending this. We shared it with area leadership for follow up. Thx",2016-04-25
"@vindugoel If your experience was contrary to these guidelines, please call so we can help.  1-800-GAPSTYLE.  Thanks!",2016-04-25
"@vindugoel If your return was within the time frame, you should have been able to receive a gift card for the return.",2016-04-25
"@vindugoel If the return was outside of the return time frame, the store is only able to issue a merchandise certificate.",2016-04-25
"@bavarianpretzel .  Authentic is less stretch than the original real straight but the cut is the same. Hope this is helpful.",2016-04-25
"Jamie Bauer hits the sand with simple pieces. https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/tsqxkNoxEz",2016-04-24
"Alternative rock band @grizfolk never takes the stage in anything but denim https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/3j4pB5uGqx",2016-04-23
"@ThomasJFox We're sorry to see this. Please give us a call at 800-GAP-STYLE so we can go over your available options. Thanks!",2016-04-22
"@chellieko Sorry to hear about your frustration. Can you let us know which store you visited so we can share with their leadership? Thanks!",2016-04-22
"@scottsandler Sorry to hear this. Take them to store and meet with manager. If they see that its defective, they can help even w/o a receipt",2016-04-22
"@heykackie Sorry, but we do not see any restock info on these and they are not available in stores. We hope you find another pair you love.",2016-04-22
"@conz If you want to send us your order number, we are happy to check your order to ensure you paid the correct price. Thanks!",2016-04-22
"@conz Thanks for sending this.  We checked on this promo for you and found the discount applies to items with price ending in .99 and .97.",2016-04-22
"We’re committed to providing clean water to women &amp; their communities #EarthDay Learn more: https://t.co/2LxO7B8jem https://t.co/Uxliskr2TE",2016-04-22
"A day at home with @JenniKayne means dogs and denim. https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/fsYgTxcz3A",2016-04-21
"@bavarianpretzel We do not see any future orders for this. I have asked for more info.  Once I hear back, I will let you know what I find.",2016-04-21
"@CinInCbad We hope you will take them to the store and meet with manager. If they see they're defective, they can help. Thanks",2016-04-21
"@chrisdbaird It may take a few days since our emails are queued in advance. It will not stop all women's emails. Some got to all customers.",2016-04-21
"@mailekrauss We hope you will call us so we can do all we can to help. 1-855-4IMIX-HELP (855-446-4943) We look forward to hearing from you.",2016-04-21
"@kathyhenderson Thank you for bringing this to our attention. We forwarded it for follow up.  Sorry for any confusion.",2016-04-20
"@bavarianpretzel So sorry. Please give us a call so we can get more info. We want to see how we can help.",2016-04-20
"@medusa422 I have asked for more info.  Once I hear back, I will let you know what I find.  Thanks!",2016-04-20
"@swap9jan We see it is pending shipment now. You chose basic free shipping. This can take 7 business days. It is promised on or before 4/27.",2016-04-20
"@MattyMozay Sorry to hear this. Take them to the store and meet with manager. If they see that its defective, they can help. Thanks",2016-04-20
"@missmaycomb This is the Tencel denim braid halter dress #200831.  It is part of the 40% off promo online today too!! Don't miss out.",2016-04-20
"@MrsBruso Sorry to hear about your disappointment. Feel free to call us at 800-GAP-STYLE so we can go over your options. Thanks!",2016-04-19
"@AdeIrvann Sorry we aren't able to follow you.",2016-04-19
