"jcrewtext","date","ny_snow","ny_mean_temp","ny_max_temp","ny_min_temp","la_snow","la_mean_temp","la_max_temp","la_min_temp","chi_snow","chi_mean_temp","chi_max_temp","chi_min_temp","hou_snow","hou_mean_temp","hou_max_temp","hou_min_temp","unemployment"
"������������ #californiadreaming https://t.co/23Bkk4KuHN",2016-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"We dared Jenna to wear gingham for five days in a row. See how she did… https://t.co/UNKQwpaspI #jcrewchallenge https://t.co/ERcBBJ563X",2016-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"We like to think of this as a welcome addition to our summer shoe arsenal https://t.co/NyfBIdGfdH #shinyponies https://t.co/EAsOSUKGB0",2016-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oh, heyyyyy. (cc: @JillianAttaway) https://t.co/1ePycWavea #shinyponies https://t.co/14NLxGA1Mn",2016-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Things we're guilty of: taking pictures of #spring blooms. https://t.co/XxqadurSwk",2016-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"When it comes to jewelry, we take the more-is-more approach. #jcrewalways",2016-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Business as usual? Not in these work outfits https://t.co/hvcAqMWqOx https://t.co/rS92isdxfK",2016-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"What do Napoleon and Twiggy have in common? A starring role in the history of stripes https://t.co/c3DUpCECMB https://t.co/9EvspFMB95",2016-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"We went to India for genuine madras. And that’s just one of our #newarrivals https://t.co/KxGLYzkJAV https://t.co/cRK471gCaA",2016-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laaaazzzyyy Sunday morning. ✔️ (cc: @KendraSally) https://t.co/s9XoJW5iZV #jcrewalways https://t.co/RWNbCijfWU",2016-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
