"jcrewtext","date"
"������������ #californiadreaming https://t.co/23Bkk4KuHN",2016-04-27
"We dared Jenna to wear gingham for five days in a row. See how she did… https://t.co/UNKQwpaspI #jcrewchallenge https://t.co/ERcBBJ563X",2016-04-26
"We like to think of this as a welcome addition to our summer shoe arsenal https://t.co/NyfBIdGfdH #shinyponies https://t.co/EAsOSUKGB0",2016-04-26
"Oh, heyyyyy. (cc: @JillianAttaway) https://t.co/1ePycWavea #shinyponies https://t.co/14NLxGA1Mn",2016-04-26
"Things we're guilty of: taking pictures of #spring blooms. https://t.co/XxqadurSwk",2016-04-25
"When it comes to jewelry, we take the more-is-more approach. #jcrewalways",2016-04-25
"Business as usual? Not in these work outfits https://t.co/hvcAqMWqOx https://t.co/rS92isdxfK",2016-04-25
"What do Napoleon and Twiggy have in common? A starring role in the history of stripes https://t.co/c3DUpCECMB https://t.co/9EvspFMB95",2016-04-24
"We went to India for genuine madras. And that’s just one of our #newarrivals https://t.co/KxGLYzkJAV https://t.co/cRK471gCaA",2016-04-24
"Laaaazzzyyy Sunday morning. ✔️ (cc: @KendraSally) https://t.co/s9XoJW5iZV #jcrewalways https://t.co/RWNbCijfWU",2016-04-24
"90 of the softest, brightest, most garment-dyed-est #newarrivals ever https://t.co/n8bYKWzVpT https://t.co/Y9UPJQLlJS",2016-04-23
"Saturdays are for lounging. (Preferably poolside.) https://t.co/kI5SfrqQ4I (cc: @dulci_edge)  #sunnysomewhere https://t.co/4BHnYBrr11",2016-04-23
"Spotted: stripes in the wild. #jcrewalways https://t.co/ZKG3D71bRs",2016-04-22
"Your wallet, magazines, SPF and water bottle just found a new summer home: our Surfside Tote https://t.co/FD3Tmn5kK6 https://t.co/OCytSARA43",2016-04-21
"How to take your stripes to the next level, right this way https://t.co/dVklpmW9J2 #jcrewalways https://t.co/RjG2gDxzWP",2016-04-20
"Just in today: 217 new reasons to do some spring-cleaning in your closet https://t.co/annmBLPBKh #newarrivals https://t.co/n04MHldutu",2016-04-19
"Get it now: our newest collaboration with @ASICSTigerUSA in two exclusive colorways https://t.co/WYno97eC4O https://t.co/0YCthsXGvV",2016-04-19
"LA local Wandie Kabule on the best Ethiopian food and where to watch old kung fu flicks https://t.co/tH4tpGv1JO https://t.co/Uootle627s",2016-04-18
"Today’s icebreaker: what’s your favorite thing about spring? We’ll start: showing some ankle again",2016-04-17
"Linen: the official fabric of summer—ours comes from Baird McNutt, the best mill in Ireland https://t.co/fSdy3wXHGe https://t.co/8QayBOnOGv",2016-04-17
"Our swim collection is for surfing, paddleboarding &amp; lying around doing absolutely nothing https://t.co/Fwz9XXKyti https://t.co/04qDBOSXPq",2016-04-16
"Meet our new denim style: the Billie demi-boot crop jean (yes, it makes your tush look good) https://t.co/LacEaXRr02 https://t.co/Fk0niGHKmh",2016-04-15
"Our made-in-LA garment-dyed shirts are like snowflakes: No two are the same https://t.co/psKNazBwvB https://t.co/eIYbYPjVWa",2016-04-14
"Think you aren’t a chino person? Right this way, please https://t.co/2tQObIURc5 #jcrewalways https://t.co/xjgkodvdfa",2016-04-13
"CANNNNONBALLLLL!!! https://t.co/sTEOTOOnwe #crewcuts https://t.co/feQJ5bCx42",2016-04-12
"Sooo, what's for lunch today? (There’s only one right answer to this.) #nationalgrilledcheeseday",2016-04-12
"2 guys from opposite coasts give us their takes on how to wear (and care for) white sneaks https://t.co/wzlyi8Q8GC https://t.co/uI6Kuf1K3w",2016-04-11
"Sunny days are here again https://t.co/blBENNp2u6 #jcrewsunglasses https://t.co/VVQt3udhWz",2016-04-10
"Style Guide-regular Lauren Hutton shows us around her Noho neighborhood. https://t.co/US6mPTbJZQ https://t.co/Y0LI4bXgFz",2016-04-09
"We asked 4 stylish professionals in LA to demonstrate the new rules of business casual https://t.co/bTka3owfwK https://t.co/uuXzmhhJKG",2016-04-09
"Fact: You can never have too many striped tees https://t.co/4OsN5y744Y https://t.co/WZ1dEuUl99",2016-04-08
