"date","ny_snow","ny_mean_temp","ny_precip","la_snow","la_mean_temp","la_precip","chi_snow","chi_mean_temp","chi_precip","hou_snow","hou_mean_temp","hou_precip","unemployment","expresssale","gapsale","jcrewsale","loftsale","expr_adj_close","loft_adj_close","gap_adj_close"
2013-04-20,0,52,0.06,0,70,0,1,38,NA,0,54,0,7.6,0,0,0,0,NA,NA,NA
2013-04-21,0,46,0,0,69,0,0,44,0,0,62,0,7.6,0,0,0,0,NA,NA,NA
2013-04-22,0,48,0,0,65,0,0,55,0,0,66,0,7.6,0,0,0,0,16.950001,17.65,34.129557
2013-04-23,0,47,0,0,66,0,0,49,0.52,0,68,NA,7.6,0,0,0,0,17.23,17.76,34.231965
2013-04-24,0,57,0,0,61,NA,0,44,0.01,0,60,NA,7.6,0,0,0,0,17.27,17.99,34.325061
2013-04-25,0,56,0,0,64,0,0,46,0.01,0,66,0,7.6,0,0,0,0,17.73,18.709999,34.846409
2013-04-26,0,59,0,0,65,0,0,54,0,0,74,NA,7.6,0,0,0,0,17.85,18.440001,34.902268
2013-04-27,0,60,0,0,64,0,0,57,NA,0,74,0.26,7.6,0,0,0,0,NA,NA,NA
2013-04-28,0,60,0,0,66,0,0,58,0.06,0,73,NA,7.6,0,0,0,0,NA,NA,NA
2013-04-29,0,55,0.04,0,66,0,0,63,0,0,73,0,7.6,0,0,0,0,17.959999,18.32,34.920885
2013-04-30,0,60,0,0,64,0,0,73,0,0,75,NA,7.6,0,0,0,0,18.209999,18.5,35.367756
2013-05-01,0,58,0,0,67,0,0,74,0,0,75,NA,7.5,0,0,0,0,17.91,18.17,34.976745
2013-05-02,0,61,0,0,72,0,0,57,0,0,65,0,7.5,0,0,0,0,18.17,18.379999,35.349136
2013-05-03,0,58,0,0,77,0,0,45,0.02,0,58,0,7.5,0,0,0,0,18.629999,18.690001,36.131156
2013-05-04,0,59,0,0,68,0,0,61,NA,0,62,0,7.5,0,0,0,0,NA,NA,NA
2013-05-05,0,55,0,0,63,0.01,0,60,0,0,62,0,7.5,0,0,0,0,NA,NA,NA
2013-05-06,0,56,0,0,62,0.69,0,61,0,0,64,0,7.5,0,0,0,0,18.58,18.74,35.796004
2013-05-07,0,61,0,0,65,0.01,0,63,0,0,71,0,7.5,0,0,0,0,18.91,19.040001,36.34528
2013-05-08,0,62,2.14,0,65,0,0,64,0,0,73,0,7.5,0,0,0,0,18.940001,18.809999,36.084604
2013-05-09,0,61,0.5,0,66,NA,0,63,0.63,0,75,0.04,7.5,0,0,0,0,18.860001,19.02,36.131156
2013-05-10,0,69,0.01,0,67,0,0,47,0.04,0,73,0.8,7.5,0,0,0,0,19.030001,19.5,38.160682
2013-05-11,0,66,1.03,0,73,0,0,53,0,0,76,0,7.5,0,0,0,0,NA,NA,NA
2013-05-12,0,61,NA,0,72,0,0,47,0,0,72,0,7.5,0,0,0,0,NA,NA,NA
2013-05-13,0,52,0,0,80,0,0,50,0,0,68,0,7.5,0,0,0,0,18.68,19.4,37.508999
2013-05-14,0,52,0,0,68,0,0,74,0,0,71,0,7.5,0,0,0,0,18.969999,19.75,38.058274
2013-05-15,0,62,0,0,67,0,0,73,NA,0,73,0.07,7.5,0,0,0,0,18.690001,19.98,38.18861
2013-05-16,0,70,0,0,66,0,0,69,0,0,77,0.03,7.5,0,0,0,0,18.68,19.879999,37.788291
2013-05-17,0,65,0,0,67,0,0,66,NA,0,81,0,7.5,0,0,0,0,18.83,20.1,38.132751
2013-05-18,0,58,0.01,0,67,0,0,69,0,0,83,0,7.5,0,0,0,0,NA,NA,NA
2013-05-19,0,57,0.6,0,68,0,0,75,0,0,83,0,7.5,0,0,0,0,NA,NA,NA
2013-05-20,0,69,0,0,72,0,0,83,0,0,84,0,7.5,0,0,0,0,18.969999,20.1,38.22585
2013-05-21,0,75,0,0,71,0,0,74,0.2,0,83,0,7.5,0,0,0,0,19.09,20.209999,38.793742
2013-05-22,0,70,0,0,69,0,0,65,0.65,0,80,0.08,7.5,0,0,0,0,19.23,20.07,38.20723
2013-05-23,0,72,0.53,0,67,0,0,48,0.06,0,80,0,7.5,0,0,0,0,19.6,20.27,38.505142
2013-05-24,0,55,0.3,0,66,0,0,50,0,0,82,0,7.5,0,0,0,0,19.200001,19.879999,37.834839
