"lofttext","date"
"What‚Äôs In The LOFT x Saturn Sisters Collaboration? https://t.co/TMoLYYeFXt via @bustle",2016-04-27
"A dress for every occasion. #loveloft https://t.co/Fi7iRmIQga",2016-04-26
"The Riviera Short: Proof that shorts can be chic. https://t.co/Piignk9wIu https://t.co/ngbzCwPHtt",2016-04-26
"@lolliegagger4 This is not what we want our clients to experience and we apologize. Please email us at LOFTFacebook@anninc.com with details.",2016-04-26
"At the top of our reading list this week. P.S. The Verano Maxi Dress you've been waiting for is‚Ä¶ https://t.co/XQPBotV1jf",2016-04-25
"Summertime and the linen is easy. Shop new arrivals: https://t.co/2g37ZqX0gA https://t.co/3OaCSEL2Fq",2016-04-25
"@jenny_kepler Sorry to hear about this! Our stores can return defective product. Please visit a store for any return/exchange options.",2016-04-25
"We could get used to this. #loveloft https://t.co/jsuhtaJjMh",2016-04-24
"The trusted crossbody that you won‚Äôt leave home without. #loveloft https://t.co/F6jsCZJR7n",2016-04-23
"Not excited for the weekend or anything‚Ä¶ #tgif #loveloft https://t.co/eWMWSpJ6Ny",2016-04-22
"@FoodieAnnie We are sorry for any disappointment with our return practice and will certainly share your feedback with our teams!",2016-04-22
"This Earth Day, we‚Äôve partnered with @GoodwillIntl to help give back with @GiveBackBox. Learn more: https://t.co/naQm4ihwMu",2016-04-22
"@SarahLagen One of our favs Ì†ΩÌ∏ç (though we may be biased)!",2016-04-22
"We Ì†ΩÌ≤ó our Lace Trim Dress on @poorlilitgirl #loveloft https://t.co/ZdwjmRkOtH",2016-04-21
"Satisfy those new-outfit cravings. Shop 50% off select items for spring: https://t.co/YiBwKmO0m8",2016-04-20
"@elizabeth_emt We‚Äôre sorry to hear of any difficulty. Please call 1.888.LOFT.444 for assistance with your order!",2016-04-20
"Not one, but two planets are going retrograde this week. See what effect it will have on your horoscope: https://t.co/hg8cBl3hqH",2016-04-20
"Some eyelet here, a little embroidery there... We're all about ladylike details: https://t.co/ebHNTQfpkV https://t.co/SyIY13jdxp",2016-04-20
"Be the one everyone asks at the office: ""Ooh, where'd you get that?"" #loveloft https://t.co/cE5siAnzgL",2016-04-20
"Last few hours to shop 30% off during Furry Friends + Family: https://t.co/ocwMOZuj5d https://t.co/xrrMVuXMXW",2016-04-20
"Warm-weather essentials. #Ì†ΩÌ±ñ #loveloft https://t.co/Hnn1RUL2Xm",2016-04-19
"Final hours: Shop 30% off everything (Cardmembers, get 40% off when using your LOVELOFT Card) during Furry Friends + Family!",2016-04-19
"Whether you have a lap dog or a big fur baby, nothing says ""let's cuddle"" like a comfy jumpsuit,‚Ä¶ https://t.co/Ehv63q4ppY",2016-04-19
"The dress we're eyeing right now. Hi @chrisuphues Ì†ΩÌ±ã! #loveloft @ Pygmy Hippo Shoppe https://t.co/1YEJmizbjI",2016-04-18
"@jam2885 We‚Äôre sorry to hear of your recent store experience. If you would like to connect  please email us at LOFTFacebook@anninc.com",2016-04-18
"@mallorylenae Thanks for the love! We'll make sure to pass along your feedback.",2016-04-18
"RT @Brooke_Ehlers I'm a sucker for a good horoscope and LOVE @LOFT horoscopes! Cool way to connect with your consumer. Bravo. Ì†ΩÌ±èÌ†ºÌøªÌ†ΩÌ±èÌ†ºÌøªÌ†ΩÌ±èÌ†ºÌøª",2016-04-18
"Did you hear? Furry Friends + Family has been extended in stores and online. Keep shopping: https://t.co/y9YIF46imv https://t.co/4tELTGhB9T",2016-04-18
"Cardmembers, enjoy 40% off everything when you use your LOVELOFT Card to shop our Furry Friends + Family sale: https://t.co/DfWtnmTBFo",2016-04-17
"Outshining the sun in our Patch Pocket Rivera Shorts. #loveloft https://t.co/GPM7nsiT2S",2016-04-17
"A sale for you + all your favs (Fido included). Shop 30% off during Furry Friends + Family: https://t.co/fgxbu3Swba https://t.co/ZxzSvldA1E",2016-04-17
"In stores + online: 30% off everything (Cardmembers, get 40% off when using your LOVELOFT Card) during Furry Friends + Family!",2016-04-16
"We know a new wardrobe--and a canine companion--are every girl's best friend. We teamed up with‚Ä¶ https://t.co/sFJLuuLiFZ",2016-04-16
"Treating yourselves to a getaway? Pack bold floral prints, strappy wedges and cute accessories‚Ä¶ https://t.co/XxkeNgg1CQ",2016-04-16
"Cardmembers, enjoy 40% off everything when you use your LOVELOFT Card to shop our Furry Friends + Family sale: https://t.co/f2Ym4IuGv6",2016-04-15
"A sale for you + all your favs (Fido included). Shop 30% off during Furry Friends + Family: https://t.co/1bxCnE3nuq https://t.co/uKZgzhXJKF",2016-04-15
"Carefree, casual and easy to wear. #loveloft https://t.co/XhYtfcKKxI",2016-04-14
"Do you know an everyday hero changing the lives of others? Nominate them for the chance to win $100,000 https://t.co/N89e19YRQ5 #JaffeAwards",2016-04-14
"@alli_rico Yes you will!",2016-04-14
"Starts today in stores + online: 30% off everything (Cardmembers, get 40% off when using your LOVELOFT Card) during Furry Friends + Family!",2016-04-14
"Outfit add-ons that will make a bold statement. #loveloft https://t.co/o80M4En7QS",2016-04-13
"@KPena8 Returns without an original receipt will be credited for the item‚Äôs current selling price, in the form of a merchandise credit!",2016-04-13
"@LaDolceEsq So sorry to hear of your experience. Please email us at LOFTFacebook@anninc.com so we can follow up with you further.",2016-04-13
"Cardmembers, get first dibs! Get 40% off everything when you use your LOVELOFT Card to shop our furry friends + family sale today.",2016-04-13
"Turquoise, aquamarine, azure--here are our favorite sea-inspired blue and green pieces: https://t.co/bH1IO4ZNL6 https://t.co/v8T17YH7Rk",2016-04-13
"Turquoise, aquamarine, azure--here are our favorite sea-inspired blue and green pieces. Shop now: https://t.co/9M6JR5CHhx",2016-04-13
"We have a major crush on our Hacienda Jumpsuit Ì†ΩÌ∏ä. #loveloft https://t.co/Vhn4fQV7lE",2016-04-12
"Pioneers. Go ‚Äì getters. Forward thinkers. &amp; Everyday heroes. #JaffeAwards #Philanthropy https://t.co/N89e19YRQ5.",2016-04-12
"@KPena8 Sorry to hear of any quality issues. We would advise taking the dress and receipt to your local store for return/exchange options.",2016-04-12
"@torylynne Once submitted our Online Store is unable to edit or cancel any orders. We apologize for any inconvenience!",2016-04-12
"@Sw33tCh377yPi3 So sorry to hear of your experience. Please email us LOFTFacebook@anninc.com with additional details so we can follow up.",2016-04-12
"@jennykordell Please email us directly at LOFTFacebook@anninc.com with additional details so we can follow up with you!",2016-04-12
"@kerlypetrella Hope the rest of your day goes more smoothly!",2016-04-12
"Happy National Pet Day! We‚Äôre celebrating with @chloethemini, the star of our upcoming Furry‚Ä¶ https://t.co/cxUkmZk1M1",2016-04-11
"The only shoes you'll need this spring. Ì†ΩÌ≥∑ by @tayymbrown #regram #loveloft https://t.co/AgvWYUvoNW",2016-04-10
"Cardmembers, last day to earn Double Points when you shop with your LOVELOFT Card. https://t.co/a0iQDsM8st",2016-04-10
"We're celebrating National Pet Day today at our Flatiron location (156 5th ave). In the area?‚Ä¶ https://t.co/movKqnJiDV",2016-04-09
"Chloe the Mini Frenchie (and crew) at our National Pet Day Event in NYC. #NationalPetDay #loveloft https://t.co/HCaPiOF1Mq",2016-04-09
"Hey NYC, don't forget to stop by our Flatiron store today from 12-4 to celebrate National Pet Day!",2016-04-09
"Open and use your LOVELOFT Card this weekend in stores and get an extra 20% off your purchase. Find a store: https://t.co/r2HyjhHtIm",2016-04-09
"Finally tackling our closet this weekend... #springcleaning #loveloft https://t.co/2Cxesb6CEL",2016-04-08
"Cardmembers, earn Double Points now through Sunday when you shop using your LOVELOFT Card. https://t.co/dOLGx9lnbV",2016-04-08
"When life gives you lemons, do you make lemonade? #JaffeAwards #Philanthropy https://t.co/N89e19YRQ5",2016-04-08
"@LauraNicole44 Wow, looks great Laura! Glad you love LOFT!",2016-04-08
"@mtjdessertblog Thanks for sharing! We are pleased you are happy with these LOFT pants!",2016-04-08
"@EleashaGamble We shouldn't charge for return shipping if defective. Contact us via clientservices@LOFT.com for additional assistance.",2016-04-08
"A tee with personality. You can--and should--wear toucans. Shop The Monthly Edit: https://t.co/h2FoGRWPOE https://t.co/mnOi97LhCE",2016-04-07
"One of those spring looks that we'll be wearing again and again Ì†ΩÌπå. #loveloft https://t.co/RH8llZPB6t",2016-04-07
"We'll always love our maxis + jean shorts, but here's a new crop of must-haves to carry you through spring + summer. https://t.co/OIvhYOSEKQ",2016-04-07
"@kbej13 Sorry for any disappointment. We will share your feedback!",2016-04-07
"@GabiValladares Sorry to hear Gaby. Please contact us at clientservices@LOFT.com if we can help!",2016-04-07
"@appraisol So glad to hear! Thanks for sharing with LOFT!",2016-04-07
"@lindseynhaase Thanks for the compliment!",2016-04-07
"@shiqiwu Hello, sorry to hear. We would recommend contacting the store directly or emailing us at clientservices@LOFT.com.",2016-04-07
"@melcwatt Great to hear you love your LOFT pants! Thanks for sharing!",2016-04-07
"You and your furry friends are invited to a meet + greet with @chloethemini at our Flatiron‚Ä¶ https://t.co/83f8xQ1dgv",2016-04-06
"Pioneers. Go ‚Äì getters. Forward thinkers. &amp; Everyday heroes. #JaffeAwards #Philanthropy https://t.co/N89e19YRQ5.",2016-04-06
"Need a good laugh? Make sure to watch our latest video with funny lady, busyphilipps. Click the‚Ä¶ https://t.co/d3Y4tFtwJy",2016-04-05
"@lindseycamacho Sorry for any disappointment with our Return guidelines. We will make sure to share.",2016-04-05
"Get to work! 30% off select on-duty essentials: https://t.co/p18nKZxvhS",2016-04-05
"Hey LOVELOFT Cardmembers, get an additional 15% off your purchase today. Learn more here: https://t.co/AomNTBPY7Z",2016-04-05
"Read your horoscope (then shop it): https://t.co/ctOqi2NU7P",2016-04-05
