"urbantext","date"
"We're pretty sure everything tastes better in a pineapple cup. Ì†ºÌΩç https://t.co/EiBNhELQ8K https://t.co/J3kTee11dw",2016-04-26
"Fresh prints. Ì†ºÌºø https://t.co/MQfzYZUZhX https://t.co/m6hQrSxTJl",2016-04-26
"@disey348 omg yes",2016-04-26
"@JkJns Sorry about that! I'm arranging for a replacement to be sent to you at no cost. We'll be in touch with more info soon via email!",2016-04-26
"Because it's #NationalPretzelDay. https://t.co/awsNQG5YGn https://t.co/cor0tmzGDW",2016-04-26
"If you haven't tried a charcoal cleanser yet, it's time to get on that ASAP (your skin will thank you Ì†ΩÌ≤Ü) https://t.co/NbIRo60BeL",2016-04-26
"@Elise_Morris Your order is from our European site. You can tweet at @uoeurope or email UrbanEuropeCS@urbanoutfitters.com for help.",2016-04-26
"We're in love. Ì†ΩÌ∏ç New intimates from Madalynne For Out From Under are online now: https://t.co/6jfrCH1zTm https://t.co/DcGl3L2AMf",2016-04-26
"@ell44h UR GLOWING",2016-04-26
"Blue jean baby. Ì†ΩÌ≤ô https://t.co/mkOFUwGDsC https://t.co/6zhhHBUA8v",2016-04-26
"All week, we're celebrating the release of the new #UOSouvenir collections. First up: NYC! https://t.co/qYE7zc14LN https://t.co/YNeGUFh7Sj",2016-04-26
"The only choice for festival footwear? @HunterBoots, obvi. https://t.co/wQeH0nXrcw https://t.co/tojHKkKxwv",2016-04-26
"Your warm-weather dress line up is right here: https://t.co/OMhAdZNxtd https://t.co/FIInDKZRTb",2016-04-25
"Get it before it's gone: the @AlphaIndustries NASA MA-1 Bomber Jacket. https://t.co/6HfEb8steG https://t.co/M0CWeIKwzE",2016-04-25
"""To me fashion is art, another form to express myself without words; wearable art."" https://t.co/ZnfYj7oqua https://t.co/ZWuD2iZ6ze",2016-04-25
"Philly! We're giving away 2 tickets to see @justinbieber at @wellsfargoctr! RT this tweet and + follow https://t.co/1ly86Gj8Ph to enter.",2016-04-25
"@CdnRyeGuy Thanks for notifying us of this. I'll be in touch via email shortly.",2016-04-25
"Like a BFF necklace. But it's a pool float. Ì†ΩÌ±≠ https://t.co/OmoAlOS8rv",2016-04-25
"New work. New artists. New shirts. Get yours while they last: https://t.co/5T3GQeauK0 https://t.co/mYFwkGHhmM",2016-04-25
"Our favorite pairing: retro tees and summer denim. https://t.co/yRKv4m86pS https://t.co/EWhnBCVtmg",2016-04-25
"@RealErikLeBoy Ì†ΩÌ≤ïÌ†ΩÌ≤ïÌ†ΩÌ≤ïÌ†ΩÌ≤ïÌ†ΩÌ≤ï",2016-04-25
"It's your last chance! Take 20% off select shoes today, online only: https://t.co/WvrmSj3jvQ https://t.co/CsMPEnicoq",2016-04-25
"@lightworker_ If you don't mind, please follow us back and DM your order# and email address so we can assist. Thanks!",2016-04-25
"@emmalikesfood MISS U",2016-04-25
"Now available for pre-order: the @adidas Tubular Doom Sneakers in black and pink. Ì†ΩÌ±å Shop: https://t.co/rcuzvJErkN https://t.co/DGPUbYZedf",2016-04-25
"Beach days are fast approaching...https://t.co/QkUiNEEomg https://t.co/FsGdbihYmh",2016-04-24
"We visited the homes of 3 UO employees &amp; gave their spaces a quick refresh! See the results: https://t.co/ATE5VbaU7g https://t.co/pD4ejHFTKQ",2016-04-24
"Stock up! There's still time to take 20% off select shoes: https://t.co/SMzCuy1ogu https://t.co/ai0ZGXgKj1",2016-04-24
"The easiest way to refresh your space? New wall art: https://t.co/jckjSV9gae https://t.co/3YtnLv1bMc",2016-04-23
"Don't forget! Take 20% off select shoes now, online only: https://t.co/D0NgpH7IYF https://t.co/CmZV1SwmBo",2016-04-23
"The best view. https://t.co/vC0YUmM5Uz https://t.co/rN71JJrHk2",2016-04-23
"Wear these this weekend: https://t.co/2Aa6dL9kEL https://t.co/oVZS97Q0jg",2016-04-23
"Goals: take better care of your house plants. https://t.co/FakBdWonkp https://t.co/Ke93bsi4we",2016-04-22
"The current (tee) rotation: https://t.co/kSKENUNncG https://t.co/cpUA7n4VHg",2016-04-22
"Happy #EarthDay! Ì†ºÌº≤ Post a pic of Boxed Water with #Retree &amp; @boxedwater will plant 2 trees. https://t.co/Q3LFNNHtxO https://t.co/il1bLBsInt",2016-04-22
"UO employee AJ's fave Snapchat filter? The puppy, duh. ""I've never looked cuter in my life."" https://t.co/WJIZBycerR https://t.co/vwYlmU8LmA",2016-04-22
"Ì†ºÌº∫Ì†ΩÌ∏çÌ†ΩÌ≤õ #EarthDay https://t.co/OGnTPgz08f",2016-04-22
"Want to live more sustainably? It's easier than you think: https://t.co/oqX0AsDQLE https://t.co/pcjl99Iwdq",2016-04-22
"Wanna go all-natural for #EarthDay? Try one of these tried-and-true #UOBeauty faves: https://t.co/liHNs6YRoy",2016-04-22
"Starting today, take 20% off select shoes, online only! Shop now: https://t.co/wHTc6el7Tc https://t.co/97mKtrjzwz",2016-04-22
"@LottieKJordan Ì†ΩÌ∞í",2016-04-22
"@ItsJeannette Sorry for the delay! Unfortunately, we're a little behind. Please DM us your inquiry so we can assist you.",2016-04-22
"@Jem199315 I am sorry for the lack of response. So we can assist you further, please DM us your order number and email address.",2016-04-22
"@ssinead_ omg Ì†ΩÌ±ª",2016-04-22
"Small changes make a big impact. Ì†ºÌº± Here‚Äôs how we‚Äôre celebrating #EarthDay! #URBNGoGreen https://t.co/dtLFcDiKyK",2016-04-22
"Beach bag. Book bag. Everything bag. @BAGGU https://t.co/u5pamUTXZB https://t.co/FL2XcKJdDG",2016-04-21
"Pool days coming up? You better be ready. https://t.co/2iMdBrYb40 https://t.co/PRcrVgJKTE",2016-04-21
