"date","fog","rain","snow","snow_fall","mtd_snow","since_jul_snow","snow_depth","hail","thunder","tornado","mean_temp","mean_dewp","mean_pressure","mean_wind_spd","mean_wind_dir","mean_visib","humid","max_temp","min_temp","max_humid","min_humid","max_dew_pt","min_dew_pt","max_pressure","min_pressure","max_wind_spd","min_wind_spd","max_vis","min_vis","gdegree","heating_days","cooling_days","precip","precip_source","heating_day_normal","mtd_heating_degree","mtd_heating_degree_normal","since_sep_heating","since_sep_heating_normal","since_jul_heating","since_jul_heating_normal","cooling_degree_normal","mtd_cooling_day","mtd_cooling_day_normal","since_sep_cooling","since_sep_cooling_normal","since_jan_cooling","since_jan_cooling_normal"
2015-04-20 12:00:00,0,1,0,0,NA,NA,NA,0,0,0,50,42,29.4,17,254,8,NA,56,43,94,44,54,30,29.64,29.23,29,6,10,2,0,15,0,NA,"",13,198,335,NA,NA,5746,5658,1,0,2,NA,NA,0,3
2015-04-21 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,50,27,29.65,18,262,10,NA,58,41,71,14,35,21,29.72,29.61,36,7,10,10,0,15,0,0,"",13,213,348,NA,NA,5761,5671,1,0,3,NA,NA,0,4
2015-04-22 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,43,23,29.82,14,286,10,NA,49,37,65,25,27,19,29.91,29.7,22,6,10,8,0,22,0,NA,"",13,235,361,NA,NA,5783,5684,1,0,4,NA,NA,0,5
2015-04-23 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,45,23,30.02,8,312,10,NA,56,34,64,10,29,15,30.07,29.93,20,0,10,10,0,20,0,0,"",12,255,373,NA,NA,5803,5696,1,0,5,NA,NA,0,6
2015-04-24 12:00:00,0,1,0,0,NA,NA,NA,0,0,0,48,26,30.02,8,75,10,NA,60,35,87,10,40,12,30.11,29.9,22,0,10,7,0,17,0,0.29,"",12,272,385,NA,NA,5820,5708,1,0,6,NA,NA,0,7
2015-04-25 12:00:00,0,1,0,0,NA,NA,NA,0,0,0,45,39,29.81,14,61,9,NA,49,40,89,58,43,32,29.88,29.73,25,8,10,3,0,20,0,0.34,"",12,292,397,NA,NA,5840,5720,1,0,7,NA,NA,0,8
2015-04-26 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,48,28,30,12,17,10,NA,57,39,73,21,33,23,30.05,29.88,24,6,10,10,0,17,0,0,"",11,309,408,NA,NA,5857,5731,1,0,8,NA,NA,0,9
2015-04-27 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,50,33,30.11,13,17,10,NA,56,43,68,34,36,31,30.14,30.04,23,4,10,10,0,15,0,0,"",11,324,419,NA,NA,5872,5742,1,0,9,NA,NA,0,10
2015-04-28 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,49,34,30.1,5,28,10,NA,60,38,80,31,37,32,30.19,30,16,0,10,10,0,16,0,0,"",10,340,429,NA,NA,5888,5752,1,0,10,NA,NA,0,11
2015-04-29 12:00:00,0,1,0,0,NA,NA,NA,0,0,0,53,36,29.94,8,15,10,NA,64,42,74,24,37,34,29.99,29.9,17,0,10,10,3,12,0,NA,"",10,352,439,NA,NA,5900,5762,1,0,11,NA,NA,0,12
2015-04-30 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,47,35,30.01,13,12,10,NA,52,42,74,45,37,32,30.12,29.9,24,0,10,10,0,18,0,0,"",10,370,449,NA,NA,5918,5771,1,0,12,NA,NA,0,13
2015-05-01 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,53,39,30.13,6,36,10,NA,65,40,86,28,42,35,30.19,30.09,12,0,10,10,2,12,0,0,"",10,12,10,NA,NA,5930,5781,1,0,1,NA,NA,0,14
2015-05-02 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,66,37,30.02,7,215,10,NA,79,53,62,12,42,34,30.1,29.94,16,0,10,10,16,0,1,0,"",9,12,19,NA,NA,5930,5790,1,1,2,NA,NA,1,15
2015-05-03 12:00:00,0,1,0,0,NA,NA,NA,0,0,0,71,47,29.94,11,191,10,NA,82,60,87,17,61,40,29.98,29.88,24,6,10,9,21,0,6,0.2,"",9,12,28,NA,NA,5930,5799,1,7,3,NA,NA,7,16
2015-05-04 12:00:00,0,1,0,0,NA,NA,NA,0,1,0,66,53,30.05,9,165,10,NA,74,57,75,36,59,33,30.18,29.89,20,0,10,10,15,0,1,NA,"",9,12,37,NA,NA,5930,5808,1,8,4,NA,NA,8,17
2015-05-05 12:00:00,0,1,0,0,NA,NA,NA,0,1,0,56,50,30.2,9,27,5,NA,60,51,97,39,54,35,30.23,30.16,17,4,10,1,6,9,0,0.79,"",8,21,45,NA,NA,5939,5816,1,8,5,NA,NA,8,18
2015-05-06 12:00:00,1,0,0,0,NA,NA,NA,0,0,0,67,54,30.14,6,79,4,NA,82,51,100,50,62,49,30.2,30.06,14,0,10,0,16,0,2,0,"",8,21,53,NA,NA,5939,5824,1,10,6,NA,NA,10,19
2015-05-07 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,72,54,29.98,10,179,10,NA,87,57,81,20,61,48,30.06,29.88,25,0,10,10,22,0,7,0,"",8,21,61,NA,NA,5939,5832,1,17,7,NA,NA,17,20
2015-05-08 12:00:00,0,1,0,0,NA,NA,NA,0,1,0,75,63,29.93,9,197,9,NA,84,66,94,43,65,61,29.98,29.89,25,5,10,2,24,0,10,0.28,"",8,21,69,NA,NA,5939,5840,1,27,8,NA,NA,27,21
2015-05-09 12:00:00,0,1,0,0,NA,NA,NA,0,0,0,58,53,30.04,9,22,6,NA,67,49,96,70,65,45,30.1,29.93,21,0,10,1,7,7,0,0.38,"",8,28,77,NA,NA,5946,5848,1,27,9,NA,NA,27,22
2015-05-10 12:00:00,0,1,0,0,NA,NA,NA,0,0,0,53,47,30.03,8,14,5,NA,58,47,97,75,50,45,30.07,29.97,14,5,10,1,2,12,0,0.16,"",7,40,84,NA,NA,5958,5855,1,27,10,NA,NA,27,23
2015-05-11 12:00:00,0,1,0,0,NA,NA,NA,0,0,0,61,55,29.85,13,208,9,NA,71,50,93,46,63,39,29.96,29.77,28,0,10,4,10,4,0,0.14,"",7,44,91,NA,NA,5962,5862,1,27,11,NA,NA,27,24
2015-05-12 12:00:00,0,1,0,0,NA,NA,NA,0,0,0,53,38,30.08,16,276,10,NA,58,47,66,38,41,34,30.32,29.91,28,6,10,10,4,12,0,NA,"",7,56,98,NA,NA,5974,5869,2,27,13,NA,NA,27,26
2015-05-13 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,49,35,30.44,10,27,10,NA,53,45,74,40,37,34,30.52,30.33,17,5,10,10,0,16,0,0,"",7,72,105,NA,NA,5990,5876,2,27,15,NA,NA,27,28
