"date","fog","rain","snow","snow_fall","mtd_snow","since_jul_snow","snow_depth","hail","thunder","tornado","mean_temp","mean_dewp","mean_pressure","mean_wind_spd","mean_wind_dir","mean_visib","humid","max_temp","min_temp","max_humid","min_humid","max_dew_pt","min_dew_pt","max_pressure","min_pressure","max_wind_spd","min_wind_spd","max_vis","min_vis","gdegree","heating_days","cooling_days","precip","precip_source","heating_day_normal","mtd_heating_degree","mtd_heating_degree_normal","since_sep_heating","since_sep_heating_normal","since_jul_heating","since_jul_heating_normal","cooling_degree_normal","mtd_cooling_day","mtd_cooling_day_normal","since_sep_cooling","since_sep_cooling_normal","since_jan_cooling","since_jan_cooling_normal"
2013-04-20 12:00:00,0,0,0,0,0,0,NA,0,0,0,54,40,30.2,4,99,10,NA,69,39,85,29,46,32,30.27,30.12,20,0,10,10,5,11,0,0,"",1,59,32,NA,NA,1165,1361,6,71,99,NA,NA,176,208
2013-04-21 12:00:00,0,0,0,0,0,0,NA,0,0,0,62,52,30.14,5,96,10,NA,76,47,89,46,54,47,30.19,30.08,14,0,10,10,13,3,0,0,"",1,62,33,NA,NA,1168,1362,6,71,105,NA,NA,176,214
2013-04-22 12:00:00,0,0,0,0,0,0,NA,0,0,0,66,57,30.06,4,116,10,NA,79,53,100,48,60,53,30.13,29.98,18,0,10,8,16,0,1,0,"",1,62,34,NA,NA,1168,1363,7,72,112,NA,NA,177,221
2013-04-23 12:00:00,0,0,0,0,0,0,NA,0,0,0,68,63,29.96,6,156,10,NA,79,57,97,58,68,58,30,29.9,18,0,10,7,20,0,3,NA,"",1,62,35,NA,NA,1168,1364,7,75,119,NA,NA,180,228
2013-04-24 12:00:00,0,1,0,0,0,0,NA,0,0,0,60,49,30.13,12,360,10,NA,71,49,86,40,70,41,30.23,29.98,26,0,10,8,12,5,0,NA,"",0,67,35,NA,NA,1173,1364,7,75,126,NA,NA,180,235
2013-04-25 12:00:00,0,0,0,0,0,0,NA,0,0,0,66,48,30.25,13,72,10,NA,76,55,77,31,59,42,30.32,30.19,20,6,10,10,15,0,1,0,"",0,67,35,NA,NA,1173,1364,7,76,133,NA,NA,181,242
2013-04-26 12:00:00,0,1,0,0,0,0,NA,0,0,0,74,65,30.16,8,141,9,NA,81,66,93,58,67,60,30.22,30.11,22,5,10,2,24,0,9,NA,"",0,67,35,NA,NA,1173,1364,7,85,140,NA,NA,190,249
2013-04-27 12:00:00,0,1,0,0,0,0,NA,1,1,0,74,67,30.06,8,146,6,NA,82,66,97,69,72,61,30.13,29.98,30,4,10,0,18,0,9,0.26,"",0,67,35,NA,NA,1173,1364,8,94,148,NA,NA,199,257
2013-04-28 12:00:00,0,1,0,0,0,0,NA,0,0,0,73,62,29.98,9,146,9,NA,82,64,100,46,65,58,30.06,29.91,29,0,10,5,22,0,8,NA,"",0,67,35,NA,NA,1173,1364,8,102,156,NA,NA,207,265
2013-04-29 12:00:00,0,0,0,0,0,0,NA,0,0,0,73,66,29.91,3,142,8,NA,84,61,100,51,68,62,29.96,29.85,16,0,10,0,22,0,8,0,"",0,67,35,NA,NA,1173,1364,8,110,164,NA,NA,215,273
2013-04-30 12:00:00,0,0,0,0,0,0,NA,0,0,0,75,65,29.82,4,143,10,NA,85,65,100,47,67,62,29.87,29.77,21,0,10,9,24,0,10,NA,"",0,67,35,NA,NA,1173,1366,8,120,172,NA,NA,225,281
2013-05-01 12:00:00,0,0,0,0,0,0,NA,0,0,0,75,65,29.86,3,134,10,NA,85,65,100,48,67,61,29.9,29.81,12,0,10,10,25,0,10,NA,"",0,0,0,NA,NA,1173,1366,8,10,8,NA,NA,235,289
2013-05-02 12:00:00,0,1,0,0,0,0,NA,0,0,0,65,59,30.02,11,321,10,NA,79,50,93,56,68,41,30.19,29.91,28,4,10,4,15,0,0,0,"",0,0,0,NA,NA,1173,1366,9,10,17,NA,NA,235,298
2013-05-03 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,58,33,30.15,17,336,10,NA,69,47,74,20,41,26,30.2,30.07,31,0,10,10,8,7,0,0,"",NA,NA,NA,NA,NA,NA,NA,9,10,26,NA,NA,235,307
2013-05-04 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,62,40,29.99,6,228,10,NA,81,42,89,20,51,37,30.1,29.88,18,0,10,10,12,2,0,0,"",NA,NA,NA,NA,NA,NA,NA,9,10,35,NA,NA,235,316
2013-05-05 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,62,43,30.05,8,345,10,NA,73,51,62,29,50,38,30.11,29.98,21,0,10,10,14,1,0,0,"",NA,NA,NA,NA,NA,NA,NA,9,10,44,NA,NA,235,325
2013-05-06 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,64,48,30.07,3,282,10,NA,79,49,80,35,55,44,30.13,30,13,0,10,10,14,1,0,0,"",NA,NA,NA,NA,NA,NA,NA,10,10,54,NA,NA,235,335
2013-05-07 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,71,55,30.04,5,209,10,NA,87,54,86,32,58,53,30.09,29.98,16,0,10,10,20,0,6,0,"",NA,NA,NA,NA,NA,NA,NA,10,16,64,NA,NA,241,345
2013-05-08 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,73,61,30.03,6,156,10,NA,85,60,93,37,64,58,30.09,29.99,23,0,10,10,22,0,8,0,"",NA,NA,NA,NA,NA,NA,NA,10,24,74,NA,NA,249,355
2013-05-09 12:00:00,0,1,0,0,NA,NA,NA,0,0,0,75,69,29.97,7,154,9,NA,79,70,100,76,72,64,30.02,29.88,21,4,10,4,23,0,10,0.04,"",NA,NA,NA,NA,NA,NA,NA,10,34,84,NA,NA,259,365
2013-05-10 12:00:00,1,1,0,0,NA,NA,NA,0,1,0,73,66,29.95,10,67,7,NA,78,67,97,67,72,63,30.06,29.86,29,0,10,0,21,0,8,0.8,"",NA,NA,NA,NA,NA,NA,NA,11,42,95,NA,NA,267,376
2013-05-11 12:00:00,0,1,0,0,NA,NA,NA,0,0,0,76,63,30.02,6,354,8,NA,86,66,100,44,68,53,30.1,29.96,17,0,10,2,24,0,11,0,"",NA,NA,NA,NA,NA,NA,NA,11,53,106,NA,NA,278,387
2013-05-12 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,72,56,30.14,10,44,10,NA,82,62,78,39,60,52,30.2,30.09,15,4,10,10,24,0,7,0,"",NA,NA,NA,NA,NA,NA,NA,11,60,117,NA,NA,285,398
2013-05-13 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,68,55,30.24,6,95,10,NA,81,55,86,30,58,52,30.31,30.19,14,0,10,10,20,0,3,0,"",NA,NA,NA,NA,NA,NA,NA,11,63,128,NA,NA,288,409
2013-05-14 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,71,62,30.19,6,164,9,NA,84,57,100,37,65,58,30.24,30.13,20,0,10,4,20,0,6,0,"",NA,NA,NA,NA,NA,NA,NA,12,69,140,NA,NA,294,421
2013-05-15 12:00:00,0,1,0,0,NA,NA,NA,0,0,0,73,67,30.06,7,154,10,NA,80,66,93,64,70,64,30.16,29.95,22,0,10,5,23,0,8,0.07,"",NA,NA,NA,NA,NA,NA,NA,12,77,152,NA,NA,302,433
2013-05-16 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,77,69,29.9,10,155,10,NA,85,69,97,58,72,66,29.98,29.84,22,0,10,10,26,0,12,0.03,"",NA,NA,NA,NA,NA,NA,NA,12,89,164,NA,NA,314,445
2013-05-17 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,81,71,29.91,9,168,9,NA,89,73,87,56,73,69,29.97,29.85,20,5,10,4,28,0,16,0,"",NA,NA,NA,NA,NA,NA,NA,12,105,176,NA,NA,330,457
2013-05-18 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,83,70,29.94,10,165,8,NA,91,75,87,47,72,67,29.98,29.9,22,5,10,4,30,0,18,0,"",NA,NA,NA,NA,NA,NA,NA,13,123,189,NA,NA,348,470
2013-05-19 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,83,71,29.89,12,160,9,NA,90,75,82,47,72,69,29.94,29.83,24,7,10,8,31,0,18,0,"",NA,NA,NA,NA,NA,NA,NA,13,141,202,NA,NA,366,483
2013-05-20 12:00:00,0,0,0,0,NA,NA,NA,0,0,0,84,72,29.87,10,156,10,NA,90,77,88,52,74,71,29.92,29.81,18,7,10,7,32,0,19,0,"",NA,NA,NA,NA,NA,NA,NA,13,160,215,NA,NA,385,496
