"date","fog","rain","snow","snow_fall","mtd_snow","since_jul_snow","snow_depth","hail","thunder","tornado","mean_temp","mean_dewp","mean_pressure","mean_wind_spd","mean_wind_dir","mean_visib","humid","max_temp","min_temp","max_humid","min_humid","max_dew_pt","min_dew_pt","max_pressure","min_pressure","max_wind_spd","min_wind_spd","max_vis","min_vis","gdegree","heating_days","cooling_days","precip","precip_source","heating_day_normal","mtd_heating_degree","mtd_heating_degree_normal","since_sep_heating","since_sep_heating_normal","since_jul_heating","since_jul_heating_normal","cooling_degree_normal","mtd_cooling_day","mtd_cooling_day_normal","since_sep_cooling","since_sep_cooling_normal","since_jan_cooling","since_jan_cooling_normal"
2014-04-20 12:00:00,0,0,0,0,0,0,NA,0,0,0,67,55,30.03,1,109,8,NA,75,59,87,53,57,54,30.06,30,9,0,10,5,16,0,2,0,"",3,40,72,NA,NA,580,1004,2,28,23,NA,NA,80,66
2014-04-21 12:00:00,0,0,0,0,0,0,NA,0,0,0,67,55,30.01,2,278,7,NA,76,57,87,46,57,53,30.06,29.94,9,0,10,2,16,0,2,0,"",3,40,75,NA,NA,580,1007,2,30,25,NA,NA,82,68
2014-04-22 12:00:00,0,0,0,0,0,0,NA,0,0,0,64,51,29.94,3,273,9,NA,69,58,80,49,53,47,29.98,29.89,13,0,10,6,14,1,0,0,"",3,41,78,NA,NA,581,1010,2,30,27,NA,NA,82,70
2014-04-23 12:00:00,0,0,0,0,0,0,NA,0,0,0,64,47,29.94,3,270,10,NA,71,56,77,28,51,36,29.96,29.9,10,0,10,10,14,1,0,0,"",3,42,81,NA,NA,582,1013,2,30,29,NA,NA,82,72
2014-04-24 12:00:00,0,0,0,0,0,0,NA,0,0,0,67,48,29.94,2,275,10,NA,79,55,78,31,53,42,29.98,29.9,9,0,10,10,16,0,2,0,"",3,42,84,NA,NA,582,1016,2,32,31,NA,NA,84,74
2014-04-25 12:00:00,0,1,0,0,0,0,NA,0,0,0,63,53,29.87,4,121,10,NA,71,54,84,53,55,50,29.93,29.8,10,0,10,4,13,2,0,0.06,"",3,44,87,NA,NA,584,1019,2,32,33,NA,NA,84,76
2014-04-26 12:00:00,0,0,0,0,0,0,NA,0,0,0,59,43,29.87,3,296,10,NA,68,50,83,37,50,38,29.96,29.77,12,0,10,10,8,6,0,0,"",3,50,90,NA,NA,590,1022,2,32,35,NA,NA,84,78
2014-04-27 12:00:00,0,0,0,0,0,0,NA,0,0,0,63,47,29.98,4,87,10,NA,71,55,75,37,51,40,30.01,29.96,9,0,10,10,12,2,0,0,"",3,52,93,NA,NA,592,1025,2,32,37,NA,NA,84,80
2014-04-28 12:00:00,0,0,0,0,0,0,NA,0,0,0,67,49,29.96,2,104,10,NA,77,57,80,29,53,40,30.02,29.88,9,0,10,8,16,0,2,0,"",2,52,95,NA,NA,592,1027,2,34,39,NA,NA,86,82
2014-04-29 12:00:00,0,0,0,0,0,0,NA,0,0,0,76,38,29.99,1,244,10,NA,92,59,78,9,53,24,30.03,29.94,10,0,10,8,26,0,11,0,"",2,52,97,NA,NA,592,1029,2,45,41,NA,NA,97,84
