"date","fog","rain","snow","snow_fall","mtd_snow","since_jul_snow","snow_depth","hail","thunder","tornado","mean_temp","mean_dewp","mean_pressure","mean_wind_spd","mean_wind_dir","mean_visib","humid","max_temp","min_temp","max_humid","min_humid","max_dew_pt","min_dew_pt","max_pressure","min_pressure","max_wind_spd","min_wind_spd","max_vis","min_vis","gdegree","heating_days","cooling_days","precip","precip_source","heating_day_normal","mtd_heating_degree","mtd_heating_degree_normal","since_sep_heating","since_sep_heating_normal","since_jul_heating","since_jul_heating_normal","cooling_degree_normal","mtd_cooling_day","mtd_cooling_day_normal","since_sep_cooling","since_sep_cooling_normal","since_jan_cooling","since_jan_cooling_normal"
2013-04-20 12:00:00,0,0,0,0,0,0,NA,0,0,0,70,47,29.93,2,152,10,NA,84,56,80,14,53,30,29.98,29.88,9,0,10,7,20,0,5,0,"",3,36,72,NA,NA,906,1004,2,12,23,NA,NA,33,66
2013-04-21 12:00:00,0,0,0,0,0,0,NA,0,0,0,69,52,29.97,1,270,9,NA,80,57,87,28,56,43,30.01,29.93,8,0,10,4,18,0,4,0,"",3,36,75,NA,NA,906,1007,2,16,25,NA,NA,37,68
2013-04-22 12:00:00,0,0,0,0,0,0,NA,0,0,0,65,52,29.96,2,275,9,NA,72,57,86,47,54,49,30,29.9,9,0,10,6,14,0,0,0,"",3,36,78,NA,NA,906,1010,2,16,27,NA,NA,37,70
2013-04-23 12:00:00,0,0,0,0,0,0,NA,0,0,0,66,50,29.92,2,90,10,NA,73,58,75,44,52,46,29.97,29.86,10,0,10,9,14,0,1,0,"",3,36,81,NA,NA,906,1013,2,17,29,NA,NA,38,72
2013-04-24 12:00:00,0,0,0,0,0,0,NA,0,0,0,61,52,29.94,1,258,9,NA,63,58,80,60,54,48,29.99,29.9,8,0,10,6,10,4,0,NA,"",3,40,84,NA,NA,910,1016,2,17,31,NA,NA,38,74
2013-04-25 12:00:00,0,0,0,0,0,0,NA,0,0,0,64,48,30.03,2,-1,10,NA,71,57,80,37,52,42,30.11,29.96,12,0,10,10,14,1,0,0,"",3,41,87,NA,NA,911,1019,2,17,33,NA,NA,38,76
2013-04-26 12:00:00,0,0,0,0,0,0,NA,0,0,0,65,50,30.12,2,267,9,NA,74,56,86,41,54,46,30.15,30.09,10,0,10,2,14,0,0,0,"",3,41,90,NA,NA,911,1022,2,17,35,NA,NA,38,78
2013-04-27 12:00:00,0,0,0,0,0,0,NA,0,0,0,64,53,30.07,1,273,9,NA,72,55,93,53,55,52,30.15,29.99,9,0,10,7,14,1,0,0,"",3,42,93,NA,NA,912,1025,2,17,37,NA,NA,38,80
2013-04-28 12:00:00,0,0,0,0,0,0,NA,0,0,0,66,54,29.94,1,263,6,NA,74,58,86,53,55,53,30.02,29.87,8,0,8,4,15,0,1,0,"",2,42,95,NA,NA,912,1027,2,18,39,NA,NA,39,82
2013-04-29 12:00:00,0,0,0,0,0,0,NA,0,0,0,66,54,29.86,2,161,7,NA,74,58,86,53,55,53,29.91,29.78,8,0,10,4,15,0,1,0,"",2,42,97,NA,NA,912,1029,2,19,41,NA,NA,40,84
2013-04-30 12:00:00,0,0,0,0,0,0,NA,0,0,0,64,52,29.85,1,218,10,NA,68,59,78,58,54,51,29.89,29.82,9,0,10,8,12,1,0,0,"",2,43,99,NA,NA,913,1033,2,19,44,NA,NA,40,87
2013-05-01 12:00:00,0,0,0,0,0,0,NA,0,0,0,67,53,29.97,1,265,10,NA,75,59,84,46,55,51,30.09,29.9,10,0,10,8,16,0,2,0,"",2,0,2,NA,NA,913,1035,2,2,2,NA,NA,42,89
2013-05-02 12:00:00,0,0,0,0,0,0,NA,0,0,0,72,46,30.05,2,270,10,NA,88,55,93,11,55,27,30.11,29.98,9,0,10,9,22,0,7,0,"",2,0,4,NA,NA,913,1037,2,9,4,NA,NA,49,91
2013-05-03 12:00:00,0,0,0,0,0,0,NA,0,0,0,77,28,29.87,2,281,10,NA,93,60,60,4,50,5,30,29.77,10,0,10,10,28,0,12,0,"",2,0,6,NA,NA,913,1039,2,21,6,NA,NA,61,93
2013-05-04 12:00:00,0,0,0,0,0,0,NA,0,0,0,68,53,29.78,4,118,9,NA,74,61,90,49,58,50,29.84,29.75,9,0,10,4,16,0,3,0,"",2,0,8,NA,NA,913,1041,2,24,8,NA,NA,64,95
