date,fog,rain,snow,snow_fall,mtd_snow,since_jul_snow,snow_depth,hail,thunder,tornado,mean_temp,mean_dewp,mean_pressure,mean_wind_spd,mean_wind_dir,mean_visib,humid,max_temp,min_temp,max_humid,min_humid,max_dew_pt,min_dew_pt,max_pressure,min_pressure,max_wind_spd,min_wind_spd,max_vis,min_vis,gdegree,heating_days,cooling_days,precip,precip_source,heating_day_normal,mtd_heating_degree,mtd_heating_degree_normal,since_sep_heating,since_sep_heating_normal,since_jul_heating,since_jul_heating_normal,cooling_degree_normal,mtd_cooling_day,mtd_cooling_day_normal,since_sep_cooling,since_sep_cooling_normal,since_jan_cooling,since_jan_cooling_normal
4/20/15 12:00,1,1,0,0,0,50.3,0,0,0,0,52,50,29.78,7,83,3,NA,57,46,100,66,56,38,30.14,29.59,16,0,10,0,2,13,0,1.37,,11,224,279,NA,NA,4809,4501,0,5,0,NA,NA,5,1
4/21/15 12:00,0,1,0,0,0,50.3,0,0,0,0,59,44,29.64,6,275,6,NA,65,52,100,25,54,25,29.77,29.55,16,0,10,2,8,6,0,0.2,,10,230,289,NA,NA,4815,4511,0,5,0,NA,NA,5,1
4/22/15 12:00,0,1,0,0,0,50.3,0,0,0,0,59,36,29.69,6,226,10,NA,69,48,67,31,47,28,29.8,29.54,20,0,10,4,10,6,0,0.05,,10,236,299,NA,NA,4821,4521,1,5,1,NA,NA,5,2
4/23/15 12:00,0,0,0,0,0,50.3,0,0,0,0,47,24,29.75,9,290,10,NA,52,41,62,32,32,18,29.84,29.68,21,0,10,10,0,18,0,0,,10,254,309,NA,NA,4839,4531,1,5,2,NA,NA,5,3
4/24/15 12:00,0,0,0,0,0,50.3,0,0,0,0,46,18,29.87,9,323,10,NA,52,39,44,26,20,16,29.93,29.83,17,5,10,10,0,19,0,0,,10,273,319,NA,NA,4858,4541,1,5,3,NA,NA,5,4
4/25/15 12:00,0,0,0,0,0,50.3,0,0,0,0,50,23,29.81,6,309,10,NA,62,38,52,20,34,20,29.93,29.69,14,0,10,10,0,15,0,0,,9,288,328,NA,NA,4873,4550,1,5,4,NA,NA,5,5
4/26/15 12:00,0,0,0,0,0,50.3,0,0,0,0,55,27,29.68,5,40,10,NA,64,46,46,25,28,25,29.71,29.65,13,0,10,10,4,10,0,0,,9,298,337,NA,NA,4883,4559,1,5,5,NA,NA,5,6
4/27/15 12:00,0,0,0,0,0,50.3,0,0,0,0,56,30,29.67,6,309,10,NA,62,49,50,29,34,28,29.73,29.63,16,0,10,10,4,9,0,0,,9,307,346,NA,NA,4892,4568,1,5,6,NA,NA,5,7
4/28/15 12:00,0,0,0,0,0,50.3,0,0,0,0,61,35,29.75,8,15,10,NA,71,50,61,24,37,31,29.8,29.7,17,4,10,10,10,4,0,0,,8,311,354,NA,NA,4896,4576,1,5,7,NA,NA,5,8
4/29/15 12:00,0,0,0,0,0,50.3,0,0,0,0,64,38,29.7,6,330,10,NA,78,50,68,20,42,32,29.76,29.62,17,0,10,10,15,1,0,0,,8,312,362,NA,NA,4897,4584,1,5,8,NA,NA,5,9
4/30/15 12:00,0,0,0,0,0,50.3,0,0,0,0,58,38,29.8,8,84,10,NA,67,48,71,34,41,36,29.92,29.73,15,4,10,10,7,7,0,0,,8,319,370,NA,NA,4904,4593,1,5,11,NA,NA,5,12
5/1/15 12:00,0,0,0,0,0,50.3,0,0,0,0,56,39,29.96,5,98,10,NA,63,49,71,46,40,38,29.99,29.92,14,0,10,10,4,9,0,0,,8,9,8,NA,NA,4913,4601,1,0,1,NA,NA,5,13
5/2/15 12:00,0,0,0,0,0,50.3,0,0,0,0,61,40,29.99,3,172,10,NA,74,48,80,31,43,35,30.04,29.95,15,0,10,2,10,4,0,0,,7,13,15,NA,NA,4917,4608,1,0,2,NA,NA,5,14
5/3/15 12:00,0,0,0,0,0,50.3,0,0,0,0,66,38,30.08,3,226,10,NA,80,51,59,22,44,34,30.15,30.04,10,0,10,10,14,0,1,0,,7,13,22,NA,NA,4917,4615,1,1,3,NA,NA,6,15
5/4/15 12:00,0,0,0,0,0,50.3,0,0,0,0,71,44,30.16,5,169,10,NA,85,57,72,22,49,39,30.21,30.11,15,0,10,7,20,0,6,0,,7,13,29,NA,NA,4917,4622,1,7,4,NA,NA,12,16
5/5/15 12:00,0,0,0,0,0,50.3,0,0,0,0,76,50,30.17,4,255,10,NA,85,66,53,34,54,44,30.22,30.14,13,0,10,10,25,0,11,0,,7,13,36,NA,NA,4917,4629,1,18,5,NA,NA,23,17
5/6/15 12:00,0,0,0,0,0,50.3,0,0,0,0,66,41,30.24,5,61,10,NA,73,59,53,28,52,36,30.3,30.19,14,0,10,10,16,0,1,NA,,6,13,42,NA,NA,4917,4635,1,19,6,NA,NA,24,18
5/7/15 12:00,0,0,0,0,0,50.3,0,0,0,0,68,45,30.19,2,205,10,NA,80,56,80,27,51,39,30.24,30.13,10,0,10,7,18,0,3,0,,6,13,48,NA,NA,4917,4641,1,22,7,NA,NA,27,19
5/8/15 12:00,0,0,0,0,0,50.3,0,0,0,0,69,52,30.15,3,78,6,NA,82,56,86,38,55,44,30.21,30.12,13,0,10,2,18,0,4,0,,6,13,54,NA,NA,4917,4647,1,26,8,NA,NA,31,20
5/9/15 12:00,0,0,0,0,0,50.3,0,0,0,0,64,55,30.27,4,84,5,NA,70,57,90,63,58,52,30.35,30.22,9,0,9,3,13,1,0,0,,6,14,60,NA,NA,4918,4653,1,26,9,NA,NA,31,21
5/10/15 12:00,0,0,0,0,0,50.3,0,0,0,0,72,61,30.2,4,253,7,NA,83,61,90,51,65,57,30.27,30.12,13,0,10,2,22,0,7,0,,5,14,65,NA,NA,4918,4658,1,33,10,NA,NA,38,22
