"date","fog","rain","snow","snow_fall","mtd_snow","since_jul_snow","snow_depth","hail","thunder","tornado","mean_temp","mean_dewp","mean_pressure","mean_wind_spd","mean_wind_dir","mean_visib","humid","max_temp","min_temp","max_humid","min_humid","max_dew_pt","min_dew_pt","max_pressure","min_pressure","max_wind_spd","min_wind_spd","max_vis","min_vis","gdegree","heating_days","cooling_days","precip","precip_source","heating_day_normal","mtd_heating_degree","mtd_heating_degree_normal","since_sep_heating","since_sep_heating_normal","since_jul_heating","since_jul_heating_normal","cooling_degree_normal","mtd_cooling_day","mtd_cooling_day_normal","since_sep_cooling","since_sep_cooling_normal","since_jan_cooling","since_jan_cooling_normal"
2016-04-01 12:00:00,0,1,0,0,0,32.1,NA,0,0,0,70,55,29.61,7,217,10,NA,79,61,78,43,58,43,29.76,29.46,12,0,10,8,21,0,5,0.01,"",17,0,17,NA,NA,3245,4239,0,5,0,NA,NA,11,1
2016-04-02 12:00:00,0,1,0,0,0,32.1,NA,0,0,0,55,42,29.54,5,67,10,NA,61,49,80,46,45,37,29.65,29.35,9,0,10,4,4,10,0,0.15,"",17,10,34,NA,NA,3255,4256,0,5,0,NA,NA,11,1
2016-04-03 12:00:00,0,1,0,NA,NA,32.1,0,0,0,0,42,16,29.7,13,296,10,NA,50,34,79,23,44,5,30.04,29.24,25,0,10,8,0,23,0,0.09,"",17,33,51,NA,NA,3278,4273,0,5,0,NA,NA,11,1
2016-04-04 12:00:00,0,1,1,NA,NA,32.1,NA,0,0,0,37,29,29.91,7,46,7,NA,45,29,89,44,41,14,30.06,29.8,16,0,10,2,0,28,0,0.47,"",16,61,67,NA,NA,3306,4289,0,5,0,NA,NA,11,1
2016-04-05 12:00:00,0,0,0,0,NA,32.1,0,0,0,0,35,8,30.26,8,18,10,NA,43,26,69,18,21,0,30.38,30.08,22,0,10,10,0,30,0,0,"",16,91,83,NA,NA,3336,4305,0,5,0,NA,NA,11,1
2016-04-06 12:00:00,0,0,0,0,NA,32.1,0,0,0,0,39,17,30.25,6,155,10,NA,48,30,71,25,38,4,30.4,29.98,17,0,10,10,0,26,0,0,"",16,117,99,NA,NA,3362,4321,0,5,0,NA,NA,11,1
2016-04-07 12:00:00,0,1,0,0,NA,32.1,0,0,0,0,53,45,29.57,7,189,9,NA,58,48,86,51,52,37,29.95,29.36,20,4,10,6,2,12,0,0.09,"",15,129,114,NA,NA,3374,4336,0,5,0,NA,NA,11,1
2016-04-08 12:00:00,0,0,0,0,NA,32.1,0,0,0,0,45,26,29.63,7,275,10,NA,50,40,62,34,36,19,29.79,29.48,13,0,10,10,0,20,0,0.01,"",15,149,129,NA,NA,3394,4351,0,5,0,NA,NA,11,1
2016-04-09 12:00:00,0,1,0,NA,NA,32.1,0,0,0,0,40,25,29.79,12,29,9,NA,43,36,85,40,33,17,30,29.72,14,4,10,4,0,25,0,0.09,"",14,174,143,NA,NA,3419,4365,0,5,0,NA,NA,11,1
2016-04-10 12:00:00,0,0,0,0,NA,32.1,0,0,0,0,41,16,30.25,5,241,10,NA,50,31,49,23,27,10,30.33,30.05,13,4,10,10,0,24,0,0,"",14,198,157,NA,NA,3443,4379,0,5,0,NA,NA,11,1
