"date","fog","rain","snow","snow_fall","mtd_snow","since_jul_snow","snow_depth","hail","thunder","tornado","mean_temp","mean_dewp","mean_pressure","mean_wind_spd","mean_wind_dir","mean_visib","humid","max_temp","min_temp","max_humid","min_humid","max_dew_pt","min_dew_pt","max_pressure","min_pressure","max_wind_spd","min_wind_spd","max_vis","min_vis","gdegree","heating_days","cooling_days","precip","precip_source","heating_day_normal","mtd_heating_degree","mtd_heating_degree_normal","since_sep_heating","since_sep_heating_normal","since_jul_heating","since_jul_heating_normal","cooling_degree_normal","mtd_cooling_day","mtd_cooling_day_normal","since_sep_cooling","since_sep_cooling_normal","since_jan_cooling","since_jan_cooling_normal"
2015-06-20 12:00:00,0,1,0,0,0,50.3,0,0,0,0,70,59,30.03,5,80,7,NA,75,64,90,49,66,50,30.11,29.92,15,0,10,2,18,0,5,NA,"",0,33,17,NA,NA,4974,4748,8,133,119,NA,NA,292,188
2015-06-21 12:00:00,0,1,0,0,0,50.3,0,0,0,0,80,69,29.77,5,269,5,NA,88,71,93,50,72,66,29.86,29.7,16,0,10,0,30,0,15,0.64,"",0,33,17,NA,NA,4974,4748,8,148,127,NA,NA,307,196
2015-06-22 12:00:00,0,0,0,0,0,50.3,0,0,0,0,79,61,29.94,5,273,10,NA,87,70,87,37,69,56,29.99,29.84,13,0,10,9,28,0,14,0,"",0,33,17,NA,NA,4974,4748,9,162,136,NA,NA,321,205
2015-06-23 12:00:00,0,0,0,0,0,50.3,0,0,0,0,83,68,29.85,6,243,9,NA,90,75,79,52,73,59,29.95,29.73,16,4,10,8,32,0,18,0.02,"",0,33,17,NA,NA,4974,4748,9,180,145,NA,NA,339,214
2015-06-24 12:00:00,0,0,0,0,0,50.3,0,0,0,0,76,54,29.98,5,315,10,NA,84,68,63,36,61,49,30.04,29.88,13,0,10,10,25,0,11,0,"",0,33,17,NA,NA,4974,4748,9,191,154,NA,NA,350,223
2015-06-25 12:00:00,0,0,0,0,0,50.3,0,0,0,0,74,52,30.02,3,273,10,NA,83,65,64,33,60,47,30.08,29.97,13,0,10,10,24,0,9,0,"",0,33,17,NA,NA,4974,4748,9,200,163,NA,NA,359,232
2015-06-26 12:00:00,0,0,0,0,0,50.3,0,0,0,0,75,58,29.98,5,79,10,NA,81,69,73,42,61,54,30.08,29.91,16,0,10,10,25,0,10,0,"",0,33,17,NA,NA,4974,4748,9,210,172,NA,NA,369,241
2015-06-27 12:00:00,0,1,0,0,0,50.3,0,0,0,0,65,56,30.02,7,84,6,NA,71,58,97,47,60,48,30.13,29.86,16,0,10,2,14,0,0,1.12,"",0,33,17,NA,NA,4974,4748,10,210,182,NA,NA,369,251
2015-06-28 12:00:00,0,1,0,0,0,50.3,0,0,0,0,68,61,29.72,5,56,6,NA,73,62,93,61,64,58,29.86,29.66,18,0,10,2,17,0,3,0.29,"",0,33,17,NA,NA,4974,4748,10,213,192,NA,NA,372,261
2015-06-29 12:00:00,0,0,0,0,0,50.3,0,0,0,0,70,55,29.88,5,262,10,NA,76,63,72,46,57,53,29.95,29.75,12,0,10,10,19,0,5,0,"",0,33,17,NA,NA,4974,4748,10,218,202,NA,NA,377,271
2015-06-30 12:00:00,0,0,0,0,0,50.3,0,0,0,0,75,61,29.92,4,173,10,NA,82,68,70,42,68,56,29.99,29.84,14,0,10,10,24,0,10,0,"",0,33,17,NA,NA,4974,4750,10,228,212,NA,NA,387,281
2015-07-01 12:00:00,1,1,0,0,0,0,0,0,0,0,76,65,29.8,4,274,6,NA,82,69,90,45,70,56,29.87,29.75,14,0,10,0,26,0,11,0.39,"",0,0,0,NA,NA,0,0,10,11,10,NA,NA,398,291
2015-07-02 12:00:00,0,0,0,0,0,0,0,0,0,0,75,58,29.88,1,228,10,NA,80,69,68,48,61,56,29.92,29.86,8,0,10,8,24,0,10,0,"",0,0,0,NA,NA,0,0,11,21,21,NA,NA,408,302
2015-07-03 12:00:00,0,0,0,0,0,0,0,0,0,0,74,54,29.96,3,70,10,NA,82,66,68,35,61,49,29.99,29.89,9,0,10,9,23,0,9,0,"",0,0,0,NA,NA,0,0,11,30,32,NA,NA,417,313
2015-07-04 12:00:00,0,1,0,0,0,0,0,0,0,0,72,57,29.96,3,86,10,NA,75,69,73,46,61,52,30.02,29.94,9,0,10,8,22,0,7,NA,"",0,0,0,NA,NA,0,0,11,37,43,NA,NA,424,324
2015-07-05 12:00:00,0,0,0,0,0,0,0,0,0,0,76,61,30.1,2,260,9,NA,83,68,73,46,64,58,30.14,30.04,7,0,10,7,26,0,11,0,"",0,0,0,NA,NA,0,0,11,48,54,NA,NA,435,335
2015-07-06 12:00:00,0,0,0,0,0,0,0,0,0,0,78,65,30.13,3,208,9,NA,83,72,84,51,68,62,30.17,30.09,12,0,10,5,27,0,13,0,"",0,0,0,NA,NA,0,0,11,61,65,NA,NA,448,346
2015-07-07 12:00:00,1,1,0,0,0,0,0,0,0,0,82,71,30.02,5,195,8,NA,88,75,91,61,75,67,30.11,29.94,10,0,10,0,30,0,17,0.12,"",0,0,0,NA,NA,0,0,11,78,76,NA,NA,465,357
2015-07-08 12:00:00,0,0,0,0,0,0,0,0,0,0,83,70,29.94,3,250,8,NA,88,77,82,61,72,68,29.96,29.91,13,0,10,5,30,0,18,NA,"",0,0,0,NA,NA,0,0,11,96,87,NA,NA,483,368
2015-07-09 12:00:00,0,1,0,0,0,0,0,0,0,0,74,65,29.93,5,80,5,NA,79,68,90,54,70,57,30.04,29.81,12,0,10,2,23,0,9,0.3,"",0,0,0,NA,NA,0,0,11,105,98,NA,NA,492,379
2015-07-10 12:00:00,0,0,0,0,0,0,0,0,0,0,78,62,29.92,5,353,8,NA,84,72,93,37,71,54,30.01,29.79,12,0,10,2,27,0,13,0,"",0,0,0,NA,NA,0,0,11,118,109,NA,NA,505,390
2015-07-11 12:00:00,0,0,0,0,0,0,0,0,0,0,79,56,30.06,2,286,10,NA,88,69,61,28,60,50,30.09,30.02,10,0,10,9,28,0,14,0,"",0,0,0,NA,NA,0,0,11,132,120,NA,NA,519,401
2015-07-12 12:00:00,0,0,0,0,0,0,0,0,0,0,81,60,30.01,2,235,10,NA,89,72,64,36,61,57,30.06,29.95,7,0,10,9,30,0,16,0,"",0,0,0,NA,NA,0,0,12,148,132,NA,NA,535,413
2015-07-13 12:00:00,0,0,0,0,0,0,0,0,0,0,81,61,29.88,3,178,10,NA,88,73,64,42,64,55,29.96,29.81,10,0,10,8,30,0,16,0,"",0,0,0,NA,NA,0,0,12,164,144,NA,NA,551,425
2015-07-14 12:00:00,1,1,0,0,0,0,0,0,0,0,78,69,29.65,3,137,7,NA,82,73,87,60,73,60,29.79,29.56,8,0,10,0,27,0,13,0.42,"",0,0,0,NA,NA,0,0,12,177,156,NA,NA,564,437
2015-07-15 12:00:00,1,1,0,0,0,0,0,0,0,0,77,69,29.65,4,11,5,NA,81,72,87,46,72,52,29.88,29.56,13,0,10,0,26,0,12,0.12,"",0,0,0,NA,NA,0,0,12,189,168,NA,NA,576,449
2015-07-16 12:00:00,0,0,0,0,0,0,0,0,0,0,72,49,30.02,6,52,10,NA,80,64,61,30,57,45,30.08,29.9,15,0,10,10,22,0,7,0,"",0,0,0,NA,NA,0,0,12,196,180,NA,NA,583,461
